Part No.,Series,Line,Speed,Flash,SRAM,Resources,Purchase
GD32F103R4T6,GD32F103,Mainstream,108,16K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103R6T6,GD32F103,Mainstream,108,32K,10K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103R8T6,GD32F103,Mainstream,108,64K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RBT6,GD32F103,Mainstream,108,128K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RCT6,GD32F103,Mainstream,108,256K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RDT6,GD32F103,Mainstream,108,384K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RET6,GD32F103,Mainstream,108,512K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RFT6,GD32F103,Mainstream,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RGT6,GD32F103,Mainstream,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RIT6,GD32F103,Mainstream,108,2048K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103RKT6,GD32F103,Mainstream,108,3072K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103T4U6,GD32F103,Mainstream,108,16K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103T6U6,GD32F103,Mainstream,108,32K,10K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103T8U6,GD32F103,Mainstream,108,64K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103TBU6,GD32F103,Mainstream,108,128K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103V8T6,GD32F103,Mainstream,108,64K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VBT6,GD32F103,Mainstream,108,128K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VCT6,GD32F103,Mainstream,108,256K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VDT6,GD32F103,Mainstream,108,384K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VET6,GD32F103,Mainstream,108,512K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VFT6,GD32F103,Mainstream,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VGT6,GD32F103,Mainstream,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VIT6,GD32F103,Mainstream,108,2048K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103VKT6,GD32F103,Mainstream,108,3072K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103ZCT6,GD32F103,Mainstream,108,256K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103ZDT6,GD32F103,Mainstream,108,384K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103ZET6,GD32F103,Mainstream,108,512K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103ZFT6,GD32F103,Mainstream,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103ZGT6,GD32F103,Mainstream,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103ZIT6,GD32F103,Mainstream,108,2048K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103ZKT6,GD32F103,Mainstream,108,3072K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105R8T6,GD32F105,Connectivity,108,64K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105RBT6,GD32F105,Connectivity,108,128K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105RCT6,GD32F105,Connectivity,108,256K,96K,Data SheetManualMore+Firmware Library User Guide,Purchase
GD32F105RDT6,GD32F105,Connectivity,108,384K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105RET6,GD32F105,Connectivity,108,512K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105RFT6,GD32F105,Connectivity,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105RGT6,GD32F105,Connectivity,108,1024K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105V8T6,GD32F105,Connectivity,108,64K,64K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105VBT6,GD32F105,Connectivity,108,128K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105VCT6,GD32F105,Connectivity,108,256K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105VDT6,GD32F105,Connectivity,108,384K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105VET6,GD32F105,Connectivity,108,512K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105VFT6,GD32F105,Connectivity,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105VGT6,GD32F105,Connectivity,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105ZCT6,GD32F105,Connectivity,108,256K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105ZDT6,GD32F105,Connectivity,108,384K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105ZET6,GD32F105,Connectivity,108,512K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105ZFT6,GD32F105,Connectivity,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F105ZGT6,GD32F105,Connectivity,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107RBT6,GD32F107,Connectivity,108,128K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107RCT6,GD32F107,Connectivity,108,256K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107RDT6,GD32F107,Connectivity,108,384K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107RET6,GD32F107,Connectivity,108,512K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107RFT6,GD32F107,Connectivity,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107RGT6,GD32F107,Connectivity,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107VBT6,GD32F107,Connectivity,108,128K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107VCT6,GD32F107,Connectivity,108,256K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107VDT6,GD32F107,Connectivity,108,384K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107VET6,GD32F107,Connectivity,108,512K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107VFT6,GD32F107,Connectivity,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107VGT6,GD32F107,Connectivity,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107ZCT6,GD32F107,Connectivity,108,256K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107ZDT6,GD32F107,Connectivity,108,384K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107ZET6,GD32F107,Connectivity,108,512K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107ZFT6,GD32F107,Connectivity,108,768K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F107ZGT6,GD32F107,Connectivity,108,1024K,96K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F130C4T6,GD32F130,Value,48,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130C6T6,GD32F130,Value,48,32K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130C8T6,GD32F130,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130F4P6,GD32F130,Value,48,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130F6P6,GD32F130,Value,48,32K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130F8P6,GD32F130,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130G4U6,GD32F130,Value,48,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130G6U6,GD32F130,Value,48,32K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130G8U6,GD32F130,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130K4U6,GD32F130,Value,48,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130K6UK,GD32F130,Value,48,32K,4K,Data SheetManualMore+Firmware Library,Purchase
GD32F130K8U6,GD32F130,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F130R8T6,GD32F130,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library,Purchase
GD32F150C4T6,GD32F150,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150C6T6,GD32F150,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150C8T6,GD32F150,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150G4U6,GD32F150,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150G6U6,GD32F150,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150G8U6,GD32F150,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150K4U6,GD32F150,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150K6U6,GD32F150,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150K8U6,GD32F150,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150R4T6,GD32F150,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150R6T6,GD32F150,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F150R8T6,GD32F150,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F170C4T6,GD32F170,Value,48,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F170C6T6,GD32F170,Value,48,32K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F170C8T6,GD32F170,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F170R8T6,GD32F170,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F170T4U6,GD32F170,Value,48,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F170T6U6,GD32F170,Value,48,32K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F170T8U6,GD32F170,Value,48,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190C4T6,GD32F190,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190C6T6,GD32F190,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190C8T6,GD32F190,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190R4T6,GD32F190,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190R6T6,GD32F190,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190R8T6,GD32F190,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190T4U6,GD32F190,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190T6U6,GD32F190,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F190T8U6,GD32F190,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware Library,Purchase
GD32F205RCT6,GD32F205,Performance,120,256K,128K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205RET6,GD32F205,Performance,120,512K,128K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205RGT6,GD32F205,Performance,120,1024K,256K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205RKT6,GD32F205,Performance,120,3072K,256K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205VCT6,GD32F205,Performance,120,256K,128K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205VET6,GD32F205,Performance,120,512K,128K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205VGT6,GD32F205,Performance,120,1024K,256K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205VKT6,GD32F205,Performance,120,3072K,256K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205ZCT6,GD32F205,Performance,120,256K,128K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205ZET6,GD32F205,Performance,120,512K,128K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205ZGT6,GD32F205,Performance,120,1024K,256K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F205ZKT6,GD32F205,Performance,120,3072K,256K,Data SheetMore+Demo SuitesDemo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207IET6,GD32F207,Performance,120,512K,128K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207IGT6,GD32F207,Performance,120,1024K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207IKT6,GD32F207,Performance,120,3072K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207RCT6,GD32F207,Performance,120,256K,128K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207RET6,GD32F207,Performance,120,512K,128K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207RGT6,GD32F207,Performance,120,1024K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207RKT6,GD32F207,Performance,120,3072K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207VCT6,GD32F207,Performance,120,256K,128K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207VET6,GD32F207,Performance,120,512K,128K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207VGT6,GD32F207,Performance,120,1024K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207VKT6,GD32F207,Performance,120,3072K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207ZCT6,GD32F207,Performance,120,256K,128K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207ZET6,GD32F207,Performance,120,512K,128K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207ZGT6,GD32F207,Performance,120,1024K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F207ZKT6,GD32F207,Performance,120,3072K,256K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
