Part No.,Series,Line,Speed,Flash,SRAM,Resources,Purchase
GD32F101C4T6,GD32F101,Basic,56,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101C6T6,GD32F101,Basic,56,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101C8T6,GD32F101,Basic,56,64K,10K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101CBT6,GD32F101,Basic,56,128K,16K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101R4T6,GD32F101,Basic,56,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101R6T6,GD32F101,Basic,56,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101R8T6,GD32F101,Basic,56,64K,10K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RBT6,GD32F101,Basic,56,128K,16K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RCT6,GD32F101,Basic,56,256K,32K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RDT6,GD32F101,Basic,56,384K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RET6,GD32F101,Basic,56,512K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RFT6,GD32F101,Basic,56,768K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RGT6,GD32F101,Basic,56,1024K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RIT6,GD32F101,Basic,56,2048K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101RKT6,GD32F101,Basic,56,3072K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101T4U6,GD32F101,Basic,56,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101T6U6,GD32F101,Basic,56,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101T8U6,GD32F101,Basic,56,64K,10K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101TBU6,GD32F101,Basic,56,128K,16K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101V8T6,GD32F101,Basic,56,64K,10K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VBT6,GD32F101,Basic,56,128K,16K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VCT6,GD32F101,Basic,56,256K,32K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VDT6,GD32F101,Basic,56,384K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VET6,GD32F101,Basic,56,512K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VFT6,GD32F101,Basic,56,768K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VGT6,GD32F101,Basic,56,1024K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VIT6,GD32F101,Basic,56,2048,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101VKT6,GD32F101,Basic,56,3072K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101ZCT6,GD32F101,Basic,56,256K,32K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101ZDT6,GD32F101,Basic,56,384K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101ZET6,GD32F101,Basic,56,512K,48K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101ZFT6,GD32F101,Basic,56,768K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101ZGT6,GD32F101,Basic,56,1024K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101ZIT6,GD32F101,Basic,56,2048K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F101ZKT6,GD32F101,Basic,56,3072K,80K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103C4T6,GD32F103,Mainstream,108,16K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103C6T6,GD32F103,Mainstream,108,32k,10K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103C8T6,GD32F103,Mainstream,108,64K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32F103CBT6,GD32F103,Mainstream,108,128K,20K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
