Part No.,Series,Line,Speed,Flash,SRAM,Resources,Purchase
GD32C103CBT6,GD32C103,Mainstream,120,128K,32K,Download,Purchase
GD32C103RBT6,GD32C103,Mainstream,120,128K,32K,Download,Purchase
GD32C103TBU6,GD32C103,Mainstream,120,128K,32K,Download,Purchase
GD32C103VBT6,GD32C103,Mainstream,120,128K,32K,Download,Purchase
GD32E103C8T6,GD32E103,Mainstream,120,64K,20K,Download,Purchase
GD32E103CBT6,GD32E103,Mainstream,120,128K,32K,Download,Purchase
GD32E103R8T6,GD32E103,Mainstream,120,64K,20K,Download,Purchase
GD32E103RBT6,GD32E103,Mainstream,120,128K,32K,Download,Purchase
GD32E103T8U6,GD32E103,Mainstream,120,64K,20K,Download,Purchase
GD32E103TBU6,GD32E103,Mainstream,120,128K,32K,Download,Purchase
GD32E103V8T6,GD32E103,Mainstream,120,64K,20K,Download,Purchase
GD32E103VBT6,GD32E103,Mainstream,120,128K,32K,Download,Purchase
GD32F303CBT6,GD32F303,Mainstream,120,128K,32K,Download,Purchase
GD32F303CCT6,GD32F303,Mainstream,120,256K,48K,Download,Purchase
GD32F303CET6,GD32F303,Mainstream,120,512K,64K,Download,Purchase
GD32F303CGT6,GD32F303,Mainstream,120,1024K,96K,Download,Purchase
GD32F303RBT6,GD32F303,Mainstream,120,128K,32K,Download,Purchase
GD32F303RCT6,GD32F303,Mainstream,120,256K,48K,Download,Purchase
GD32F303RET6,GD32F303,Mainstream,120,512K,64K,Download,Purchase
GD32F303RGT6,GD32F303,Mainstream,120,1024K,96K,Download,Purchase
GD32F303RIT6,GD32F303,Mainstream,120,2048K,96K,Download,Purchase
GD32F303RKT6,GD32F303,Mainstream,120,3072K,96K,Download,Purchase
GD32F303VBT6,GD32F303,Mainstream,120,128K,32K,Download,Purchase
GD32F303VCT6,GD32F303,Mainstream,120,256K,48K,Download,Purchase
GD32F303VET6,GD32F303,Mainstream,120,512K,64K,Download,Purchase
GD32F303VGT6,GD32F303,Mainstream,120,1024K,96K,Download,Purchase
GD32F303VIT6,GD32F303,Mainstream,120,2048K,96K,Download,Purchase
GD32F303VKT6,GD32F303,Mainstream,120,3072K,96K,Download,Purchase
GD32F303ZCT6,GD32F303,Mainstream,120,256K,48K,Download,Purchase
GD32F303ZET6,GD32F303,Mainstream,120,512K,64K,Download,Purchase
GD32F303ZGT6,GD32F303,Mainstream,120,1024K,96K,Download,Purchase
GD32F303ZIT6,GD32F303,Mainstream,120,2048K,96K,Download,Purchase
GD32F303ZKT6,GD32F303,Mainstream,120,3072K,96K,Download,Purchase
GD32F305RBT6,GD32F305,Mainstream,120,128K,64K,Download,Purchase
GD32F305RCT6,GD32F305,Mainstream,120,256K,96K,Download,Purchase
GD32F305RET6,GD32F305,Mainstream,120,512K,96K,Download,Purchase
GD32F305RGT6,GD32F305,Mainstream,120,1024K,96K,Download,Purchase
GD32F305VCT6,GD32F305,Mainstream,120,256K,96K,Download,Purchase
GD32F305VET6,GD32F305,Mainstream,120,512K,96K,Download,Purchase
GD32F305VGT6,GD32F305,Mainstream,120,1024K,96K,Download,Purchase
