Part No,Core,Series,Package,Max Speed (MHz),Flash (Bytes),SRAM (Bytes),I/O,GPTM (32bit),GPTM (16bit),Advanced TM (16bit),HRTM,Basic TM (64bit),Basic TM (32bit),Basic TM (16bit),LPTM (32bit),LPTM (16bit),SysTick (64bit),SysTick (24bit),WDG,RTC,USART+UART,LPUART,I2C,QSPI,SPI,I2S,CAN 2.0B,USB 2.0,Ethernet,EtherCAT Slave Controller,SDIO,MFCOM,LIN,LCD-TFT,Segment LCD,Camera,IPA,SAI,TMU,EXMC,CEC,14bit ADC Units (CHs),12bit ADC Units (CHs),12bit DAC Units,Comp,IEEE 802.11,Bluetooth,Date
GD32H75EYMJ6,Cortex®-M7,GD32H75E,BGA240,600,3840K,1024K,up to 116,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,6,4,3xFD,FS+HS,2,1,0,0,0,0,0,0,0,0,1,1,0,2(22),1(15),1,2,0,0,2024-12-10
GD32H75EYMJ6B,Cortex®-M7,GD32H75E,BGA240,600,3840K,1024K,up to 113,3,9,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,6,4,3xFD,FS+HS,0,1,0,0,0,0,0,0,0,0,1,1,0,2(20),1(15),1,2,0,0,2024-12-10
GD32H759IGT6,Cortex®-M7,GD32H759,LQFP176,600,1024K,1024K,up to 121,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,2x(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H759IIT6,Cortex®-M7,GD32H759,LQFP176,600,2048K,1024K,up to 121,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,2x(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H759IMT6,Cortex®-M7,GD32H759,LQFP176,600,3840K,1024K,up to 121,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,2x(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H759IGK6,Cortex®-M7,GD32H759,BGA176,600,1024K,1024K,up to 134,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,2x(FS+HS) OTG,2,0,2,0,0,1,0,0,0,3,1,1,0,"1(20), 1(18)",1(17),1,1,0,0,2024-12-10
GD32H759IIK6,Cortex®-M7,GD32H759,BGA176,600,2048K,1024K,up to 134,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,2x(FS+HS) OTG,2,0,2,0,0,1,0,0,0,3,1,1,0,"1(20), 1(18)",1(17),1,1,0,0,2024-12-10
GD32H759IMK6,Cortex®-M7,GD32H759,BGA176,600,3840K,1024K,up to 134,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,2x(FS+HS) OTG,2,0,2,0,0,1,0,0,0,3,1,1,0,"1(20), 1(18)",1(17),1,1,0,0,2024-12-10
GD32H757VGT6,Cortex®-M7,GD32H757,LQFP100,600,1024K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H757VIT6,Cortex®-M7,GD32H757,LQFP100,600,2048K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H757VMT6,Cortex®-M7,GD32H757,LQFP100,600,3840K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H757VGJ6,Cortex®-M7,GD32H757,BGA100,600,1024K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H757VIJ6,Cortex®-M7,GD32H757,BGA100,600,2048K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H757VMJ6,Cortex®-M7,GD32H757,BGA100,600,3840K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H757ZGT6,Cortex®-M7,GD32H757,LQFP144,600,1024K,1024K,up to 113,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H757ZIT6,Cortex®-M7,GD32H757,LQFP144,600,2048K,1024K,up to 113,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H757ZMT6,Cortex®-M7,GD32H757,LQFP144,600,3840K,1024K,up to 113,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3xFD,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H737VGT6,Cortex®-M7,GD32H737,LQFP100,600,1024K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,2,(FS+HS) OTG,1,0,2,0,0,0,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H737VIT6,Cortex®-M7,GD32H737,LQFP100,600,2048K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H737VMT6,Cortex®-M7,GD32H737,LQFP100,600,3840K,1024K,up to 82,4,10,2,0,2,2,0,0,0,0,1,2,1,8,0,4,1,5,4,3,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,2,1,1,0,"1(14), 1(12)",1(4),1,1,0,0,2024-12-10
GD32H737ZGT6,Cortex®-M7,GD32H737,LQFP144,600,1024K,1024K,up to 113,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,2,(FS+HS) OTG,1,0,2,0,0,0,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H737ZIT6,Cortex®-M7,GD32H737,LQFP144,600,2048K,1024K,up to 113,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H737ZMT6,Cortex®-M7,GD32H737,LQFP144,600,3840K,1024K,up to 113,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3,(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H737IGT6,Cortex®-M7,GD32H737,LQFP176,600,1024K,1024K,up to 121,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,2,2x(FS+HS) OTG,1,0,2,0,0,0,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H737IIT6,Cortex®-M7,GD32H737,LQFP176,600,2048K,1024K,up to 121,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3,2x(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H737IMT6,Cortex®-M7,GD32H737,LQFP176,600,3840K,1024K,up to 121,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3,2x(FS+HS) OTG,1,0,2,0,0,1,0,0,0,3,1,1,0,"1(16), 1(14)",1(12),1,1,0,0,2024-12-10
GD32H737IGK6,Cortex®-M7,GD32H737,BGA176,600,1024K,1024K,up to 134,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,2,2x(FS+HS) OTG,2,0,2,0,0,0,0,0,0,3,1,1,0,"1(20), 1(18)",1(17),1,1,0,0,2024-12-10
GD32H737IIK6,Cortex®-M7,GD32H737,BGA176,600,2048K,1024K,up to 134,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3,2x(FS+HS) OTG,2,0,2,0,0,1,0,0,0,3,1,1,0,"1(20), 1(18)",1(17),1,1,0,0,2024-12-10
GD32H737IMK6,Cortex®-M7,GD32H737,BGA176,600,3840K,1024K,up to 134,4,12,2,0,2,2,0,0,0,0,1,2,1,8,0,4,2,6,4,3,2x(FS+HS) OTG,2,0,2,0,0,1,0,0,0,3,1,1,0,"1(20), 1(18)",1(17),1,1,0,0,2024-12-10
