Part No.,Series,Line,Speed,Flash,SRAM,Resources,Purchase
GD32E230C4T6,GD32E230,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230C6T6,GD32E230,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230C8T6,GD32E230,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230F4P6,GD32E230,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230F4V6,GD32E230,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230F6P6,GD32E230,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230F6V6,GD32E230,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230F8P6,GD32E230,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230F8V6,GD32E230,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230G4U6,GD32E230,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230G6U6,GD32E230,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230G8U6,GD32E230,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230K4T6,GD32E230,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230K4U6,GD32E230,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230K6T6,GD32E230,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230K6U6,GD32E230,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230K8T6,GD32E230,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E230K8U6,GD32E230,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E231C4T6,GD32E231,Value,72,16K,4K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E231C6T6,GD32E231,Value,72,32K,6K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E231C8T6,GD32E231,Value,72,64K,8K,Data SheetManualMore+Demo SuitesFirmware LibraryFirmware Library User Guide,Purchase
GD32E232E4U7,GD32E232,Value,72,16K,4K,,Purchase
GD32E232E6U7,GD32E232,Value,72,32K,6K,,Purchase
GD32E232E8U7,GD32E232,Value,72,64K,8K,,Purchase
GD32E232K4Q7,GD32E232,Value,72,16K,4K,,Purchase
GD32E232K6Q7,GD32E232,Value,72,32K,6K,,Purchase
GD32E232K8Q7,GD32E232,Value,72,64K,8K,,Purchase
GD32L233C8T6,GD32L233,Low Power,64,64K,16K,Data SheetManual,Purchase
GD32L233CBT6,GD32L233,Low Power,64,128K,24K,Data SheetManual,Purchase
GD32L233CCT6,GD32L233,Low Power,64,256K,32K,Data SheetManual,Purchase
GD32L233K8Q6,GD32L233,Low Power,64,64K,16K,Data SheetManual,Purchase
GD32L233K8T6,GD32L233,Low Power,64,64K,16K,Data SheetManual,Purchase
GD32L233KBQ6,GD32L233,Low Power,64,128K,24K,Data SheetManual,Purchase
GD32L233KBT6,GD32L233,Low Power,64,128K,24K,Data SheetManual,Purchase
GD32L233R8T6,GD32L233,Low Power,64,64K,16K,Data SheetManual,Purchase
GD32L233RBT6,GD32L233,Low Power,64,128K,24K,Data SheetManual,Purchase
GD32L233RCT6,GD32L233,Low Power,64,256K,32K,Data SheetManual,Purchase
